customer_id,first_name,email,city,signup_date
76,Customer76,customer76@example.com,Ajman,2025-08-21 17:14:47.543132
77,Customer77,customer77@example.com,Abu Dhabi,2025-10-08 17:14:47.543134
78,Customer78,customer78@example.com,Sharjah,2025-08-19 17:14:47.543137
79,Customer79,customer79@example.com,Abu Dhabi,2026-04-14 17:14:47.543139
80,Customer80,customer80@example.com,Dubai,2025-10-12 17:14:47.543140
81,Customer81,customer81@example.com,Dubai,2025-06-03 17:14:47.543142
82,Customer82,customer82@example.com,Sharjah,2026-03-09 17:14:47.543144
83,Customer83,customer83@example.com,Ajman,2025-05-25 17:14:47.543146
84,Customer84,customer84@example.com,Abu Dhabi,2026-02-13 17:14:47.543148
85,Customer85,customer85@example.com,Abu Dhabi,2025-08-17 17:14:47.543151
86,Customer86,customer86@example.com,Ajman,2025-06-04 17:14:47.543152
87,Customer87,customer87@example.com,Dubai,2025-09-26 17:14:47.543154
88,Customer88,customer88@example.com,Ajman,2026-01-04 17:14:47.543156
89,Customer89,customer89@example.com,Ajman,2026-03-13 17:14:47.543158
90,Customer90,customer90@example.com,Sharjah,2025-06-09 17:14:47.543159
91,Customer91,customer91@example.com,Ajman,2025-05-22 17:14:47.543161
92,Customer92,customer92@example.com,Abu Dhabi,2025-11-08 17:14:47.543163
93,Customer93,customer93@example.com,Abu Dhabi,2026-01-04 17:14:47.543165
94,Customer94,customer94@example.com,Ajman,2026-03-02 17:14:47.543168
95,Customer95,customer95@example.com,Abu Dhabi,2026-03-04 17:14:47.543169
96,Customer96,customer96@example.com,Dubai,2025-06-04 17:14:47.543171
97,Customer97,customer97@example.com,Dubai,2025-08-11 17:14:47.543173
98,Customer98,customer98@example.com,Dubai,2026-04-23 17:14:47.543175
99,Customer99,customer99@example.com,Ajman,2025-10-13 17:14:47.543176
100,Customer100,customer100@example.com,Dubai,2025-07-27 17:14:47.543178
